Date,Open,High,Low,Close,Adj Close,Volume
2021-05-10,14.840000,14.840000,14.840000,14.840000,14.694315,0
2021-05-11,14.730000,14.730000,14.730000,14.730000,14.585394,0
2021-05-12,14.400000,14.400000,14.400000,14.400000,14.258634,0
2021-05-13,14.570000,14.570000,14.570000,14.570000,14.426965,0
2021-05-14,14.800000,14.800000,14.800000,14.800000,14.654708,0
2021-05-17,14.750000,14.750000,14.750000,14.750000,14.605198,0
2021-05-18,14.640000,14.640000,14.640000,14.640000,14.496279,0
2021-05-19,14.610000,14.610000,14.610000,14.610000,14.466573,0
2021-05-20,14.780000,14.780000,14.780000,14.780000,14.634904,0
2021-05-21,14.770000,14.770000,14.770000,14.770000,14.625003,0
2021-05-24,14.920000,14.920000,14.920000,14.920000,14.773529,0
2021-05-25,14.900000,14.900000,14.900000,14.900000,14.753725,0
2021-05-26,14.930000,14.930000,14.930000,14.930000,14.783432,0
2021-05-27,14.950000,14.950000,14.950000,14.950000,14.803235,0
2021-05-28,14.970000,14.970000,14.970000,14.970000,14.823039,0
2021-06-01,14.950000,14.950000,14.950000,14.950000,14.803235,0
2021-06-02,14.970000,14.970000,14.970000,14.970000,14.823039,0
2021-06-03,14.910000,14.910000,14.910000,14.910000,14.763627,0
2021-06-04,15.050000,15.050000,15.050000,15.050000,14.902253,0
2021-06-07,15.050000,15.050000,15.050000,15.050000,14.902253,0
2021-06-08,15.050000,15.050000,15.050000,15.050000,14.902253,0
2021-06-09,15.030000,15.030000,15.030000,15.030000,14.882449,0
2021-06-10,15.110000,15.110000,15.110000,15.110000,14.961664,0
2021-06-11,15.150000,15.150000,15.150000,15.150000,15.001271,0
2021-06-14,15.190000,15.190000,15.190000,15.190000,15.040878,0
2021-06-15,15.140000,15.140000,15.140000,15.140000,14.991370,0
2021-06-16,15.070000,15.070000,15.070000,15.070000,14.922056,0
2021-06-17,15.090000,15.090000,15.090000,15.090000,14.941860,0
2021-06-18,14.910000,14.910000,14.910000,14.910000,14.763627,0
2021-06-21,15.100000,15.100000,15.100000,15.100000,14.951763,0
2021-06-22,15.190000,15.190000,15.190000,15.190000,15.040878,0
2021-06-23,15.180000,15.180000,15.180000,15.180000,15.030977,0
2021-06-24,15.280000,15.280000,15.280000,15.280000,15.129995,0
2021-06-25,15.320000,15.320000,15.320000,15.320000,15.169602,0
2021-06-28,15.370000,15.370000,15.370000,15.370000,15.219111,0
2021-06-29,15.380000,15.380000,15.380000,15.380000,15.229013,0
2021-06-30,15.390000,15.390000,15.390000,15.390000,15.238915,0
2021-07-01,15.460000,15.460000,15.460000,15.460000,15.308228,0
2021-07-02,15.580000,15.580000,15.580000,15.580000,15.427050,0
2021-07-06,15.570000,15.570000,15.570000,15.570000,15.417148,0
2021-07-07,15.610000,15.610000,15.610000,15.610000,15.456756,0
2021-07-08,15.480000,15.480000,15.480000,15.480000,15.328032,0
2021-07-09,15.650000,15.650000,15.650000,15.650000,15.496363,0
2021-07-12,15.690000,15.690000,15.690000,15.690000,15.535970,0
2021-07-13,15.640000,15.640000,15.640000,15.640000,15.486462,0
2021-07-14,15.640000,15.640000,15.640000,15.640000,15.486462,0
2021-07-15,15.590000,15.590000,15.590000,15.590000,15.436953,0
2021-07-16,15.490000,15.490000,15.490000,15.490000,15.337934,0
2021-07-19,15.260000,15.260000,15.260000,15.260000,15.110192,0
2021-07-20,15.500000,15.500000,15.500000,15.500000,15.347836,0
2021-07-21,15.630000,15.630000,15.630000,15.630000,15.476560,0
2021-07-22,15.670000,15.670000,15.670000,15.670000,15.516167,0
2021-07-23,15.840000,15.840000,15.840000,15.840000,15.684498,0
2021-07-26,15.860000,15.860000,15.860000,15.860000,15.704301,0
2021-07-27,15.780000,15.780000,15.780000,15.780000,15.625087,0
2021-07-28,15.790000,15.790000,15.790000,15.790000,15.634989,0
2021-07-29,15.850000,15.850000,15.850000,15.850000,15.694400,0
2021-07-30,15.760000,15.760000,15.760000,15.760000,15.605284,0
2021-08-02,15.740000,15.740000,15.740000,15.740000,15.585479,0
2021-08-03,15.860000,15.860000,15.860000,15.860000,15.704301,0
2021-08-04,15.800000,15.800000,15.800000,15.800000,15.644891,0
2021-08-05,15.900000,15.900000,15.900000,15.900000,15.743908,0
2021-08-06,15.910000,15.910000,15.910000,15.910000,15.753810,0
2021-08-09,15.900000,15.900000,15.900000,15.900000,15.743908,0
2021-08-10,15.900000,15.900000,15.900000,15.900000,15.743908,0
2021-08-11,15.930000,15.930000,15.930000,15.930000,15.773615,0
2021-08-12,15.990000,15.990000,15.990000,15.990000,15.833025,0
2021-08-13,16.010000,16.010000,16.010000,16.010000,15.852829,0
2021-08-16,16.040001,16.040001,16.040001,16.040001,15.882535,0
2021-08-17,15.930000,15.930000,15.930000,15.930000,15.773615,0
2021-08-18,15.770000,15.770000,15.770000,15.770000,15.615186,0
2021-08-19,15.790000,15.790000,15.790000,15.790000,15.634989,0
2021-08-20,15.920000,15.920000,15.920000,15.920000,15.763713,0
2021-08-23,16.059999,16.059999,16.059999,16.059999,15.902337,0
2021-08-24,16.100000,16.100000,16.100000,16.100000,15.941946,0
2021-08-25,16.129999,16.129999,16.129999,16.129999,15.971650,0
2021-08-26,16.040001,16.040001,16.040001,16.040001,15.882535,0
2021-08-27,16.180000,16.180000,16.180000,16.180000,16.021160,0
2021-08-30,16.260000,16.260000,16.260000,16.260000,16.100374,0
2021-08-31,16.230000,16.230000,16.230000,16.230000,16.070669,0
2021-09-01,16.240000,16.240000,16.240000,16.240000,16.080570,0
2021-09-02,16.280001,16.280001,16.280001,16.280001,16.120178,0
2021-09-03,16.290001,16.290001,16.290001,16.290001,16.130081,0
2021-09-07,16.230000,16.230000,16.230000,16.230000,16.070669,0
2021-09-08,16.200001,16.200001,16.200001,16.200001,16.040964,0
2021-09-09,16.129999,16.129999,16.129999,16.129999,15.971650,0
2021-09-10,16.010000,16.010000,16.010000,16.010000,15.852829,0
2021-09-13,16.040001,16.040001,16.040001,16.040001,15.882535,0
2021-09-14,15.950000,15.950000,15.950000,15.950000,15.793418,0
2021-09-15,16.080000,16.080000,16.080000,16.080000,15.922141,0
2021-09-16,16.070000,16.070000,16.070000,16.070000,15.912239,0
2021-09-17,15.930000,15.930000,15.930000,15.930000,15.773615,0
2021-09-20,15.660000,15.660000,15.660000,15.660000,15.506265,0
2021-09-21,15.660000,15.660000,15.660000,15.660000,15.506265,0
2021-09-22,15.800000,15.800000,15.800000,15.800000,15.644891,0
2021-09-23,15.990000,15.990000,15.990000,15.990000,15.833025,0
2021-09-24,16.010000,16.010000,16.010000,16.010000,15.852829,0
2021-09-27,15.950000,15.950000,15.950000,15.950000,15.793418,0
2021-09-28,15.610000,15.610000,15.610000,15.610000,15.456756,0
2021-09-29,15.630000,15.630000,15.630000,15.630000,15.476560,0
2021-09-30,15.460000,15.460000,15.460000,15.460000,15.308228,0
2021-10-01,15.630000,15.630000,15.630000,15.630000,15.476560,0
2021-10-04,15.410000,15.410000,15.410000,15.410000,15.258718,0
2021-10-05,15.580000,15.580000,15.580000,15.580000,15.427050,0
2021-10-06,15.650000,15.650000,15.650000,15.650000,15.496363,0
2021-10-07,15.790000,15.790000,15.790000,15.790000,15.634989,0
2021-10-08,15.760000,15.760000,15.760000,15.760000,15.605284,0
2021-10-11,15.650000,15.650000,15.650000,15.650000,15.496363,0
2021-10-12,15.620000,15.620000,15.620000,15.620000,15.466658,0
2021-10-13,15.680000,15.680000,15.680000,15.680000,15.526069,0
2021-10-14,15.950000,15.950000,15.950000,15.950000,15.793418,0
2021-10-15,16.070000,16.070000,16.070000,16.070000,15.912239,0
2021-10-18,16.129999,16.129999,16.129999,16.129999,15.971650,0
2021-10-19,16.250000,16.250000,16.250000,16.250000,16.090473,0
2021-10-20,16.309999,16.309999,16.309999,16.309999,16.149883,0
2021-10-21,16.370001,16.370001,16.370001,16.370001,16.209295,0
2021-10-22,16.330000,16.330000,16.330000,16.330000,16.169687,0
2021-10-25,16.410000,16.410000,16.410000,16.410000,16.248901,0
2021-10-26,16.440001,16.440001,16.440001,16.440001,16.278608,0
2021-10-27,16.350000,16.350000,16.350000,16.350000,16.189491,0
2021-10-28,16.510000,16.510000,16.510000,16.510000,16.347921,0
2021-10-29,16.549999,16.549999,16.549999,16.549999,16.387527,0
2021-11-01,16.580000,16.580000,16.580000,16.580000,16.417233,0
2021-11-02,16.629999,16.629999,16.629999,16.629999,16.466742,0
2021-11-03,16.740000,16.740000,16.740000,16.740000,16.575663,0
2021-11-04,16.809999,16.809999,16.809999,16.809999,16.644974,0
2021-11-05,16.860001,16.860001,16.860001,16.860001,16.694485,0
2021-11-08,16.889999,16.889999,16.889999,16.889999,16.724190,0
2021-11-09,16.830000,16.830000,16.830000,16.830000,16.664780,0
2021-11-10,16.680000,16.680000,16.680000,16.680000,16.516253,0
2021-11-11,16.690001,16.690001,16.690001,16.690001,16.526154,0
2021-11-12,16.820000,16.820000,16.820000,16.820000,16.654877,0
2021-11-15,16.820000,16.820000,16.820000,16.820000,16.654877,0
2021-11-16,16.900000,16.900000,16.900000,16.900000,16.734091,0
2021-11-17,16.850000,16.850000,16.850000,16.850000,16.684584,0
2021-11-18,16.900000,16.900000,16.900000,16.900000,16.734091,0
2021-11-19,16.870001,16.870001,16.870001,16.870001,16.704388,0
2021-11-22,16.790001,16.790001,16.790001,16.790001,16.625172,0
2021-11-23,16.799999,16.799999,16.799999,16.799999,16.635073,0
2021-11-24,16.860001,16.860001,16.860001,16.860001,16.694485,0
2021-11-26,16.490000,16.490000,16.490000,16.490000,16.328115,0
2021-11-29,16.709999,16.709999,16.709999,16.709999,16.545956,0
2021-11-30,16.389999,16.389999,16.389999,16.389999,16.229097,0
2021-12-01,16.170000,16.170000,16.170000,16.170000,16.011259,0
2021-12-02,16.400000,16.400000,16.400000,16.400000,16.239000,0
